CNUC,TIPO_NOME,NOME_UC,TIPO,Bioma_predominante,UF,Area_queimada,Perc_UC,ano
0000.00.0020,APA CARSTE DE LAGOA SANTA,AREA DE PROTECAO AMBIENTAL CARSTE DE LAGOA SANTA,APA,CERRADO,MG,162.8936726,0.43,2023
0000.00.0002,APA CAVERNAS DO PERUACU,AREA DE PROTECAO AMBIENTAL CAVERNAS DO PERUACU,APA,CERRADO,MG,388.4169684,0.34,2023
0000.00.0003,APA DA BACIA DO RIO DESCOBERTO,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO DESCOBERTO,APA,CERRADO,GO;DF,713.0488549,1.97,2023
0000.00.1521,APA BACIA PARAIBA DO SUL,AREA DE PROTECAO AMBIENTAL BACIA DO PARAIBA DO SUL,APA,MATA ATLANTICA,MG;RJ;SP,545.3385567,0.19,2023
0000.00.0004,APA DA BACIA DO RIO SAO BARTOLOMEU,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO BARTOLOMEU,APA,CERRADO,DF,184.5129023,0.22,2023
0000.00.0005,APA DA BACIA DO RIO SAO JOAO/MICO-LEAO-DOURADO,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO JOAO/MICO-LEAO-DOURADO,APA,MATA ATLANTICA,RJ,530.6036077,0.36,2023
0000.00.0006,APA DA BALEIA FRANCA,AREA DE PROTECAO AMBIENTAL DA BALEIA FRANCA,APA,MATA ATLANTICA,SC,106.6427139,0.07,2023
0000.00.0008,APA DA CHAPADA DO ARARIPE,AREA DE PROTECAO AMBIENTAL DA CHAPADA DO ARARIPE,APA,CAATINGA,PI;CE;PE,172.7711811,0.02,2023
0000.00.0010,APA DA REGIAO SERRANA DE PETROPOLIS,AREA DE PROTECAO AMBIENTAL DA REGIAO SERRANA DE PETROPOLIS,APA,MATA ATLANTICA,RJ,165.4501,0.34,2023
0000.00.0011,APA DA SERRA DA MANTIQUEIRA,AREA DE PROTECAO AMBIENTAL DA SERRA DA MANTIQUEIRA,APA,MATA ATLANTICA,MG;RJ;SP,247.6535041,0.06,2023
0000.00.0025,APA DAS ILHAS E VARZEAS DO RIO PARANA,AREA DE PROTECAO AMBIENTAL DAS ILHAS E VARZEAS DO RIO PARANA,APA,MATA ATLANTICA,SP;PR;MS,384.6209786,0.04,2023
0000.00.0028,APA DAS NASCENTES DO RIO VERMELHO,AREA DE PROTECAO AMBIENTAL DAS NASCENTES DO RIO VERMELHO,APA,CERRADO,BA;GO,1075.401662,0.62,2023
0000.00.0013,APA DE CAIRUCU,AREA DE PROTECAO AMBIENTAL DE CAIRUCU,APA,MATA ATLANTICA,RJ;SP,3.812422301,0.01,2023
0000.00.0014,APA DE CANANEIA-IGUAPE-PERUIBE,AREA DE PROTECAO AMBIENTAL DE CANANEIA-IGUAPE-PERUIBE,APA,MATA ATLANTICA,SP,2.71218249,0,2023
0000.00.0016,APA DE GUAPI-MIRIM,AREA DE PROTECAO AMBIENTAL DE GUAPI-MIRIM,APA,MATA ATLANTICA,RJ,159.6051426,1.34,2023
0000.00.3655,APA DO BOQUEIRAO DA ONCA,AREA DE PROTECAO AMBIENTAL DO BOQUEIRAO DA ONCA,APA,CAATINGA,BA,62.6674761,0.01,2023
0000.00.0021,APA DO IBIRAPUITA,AREA DE PROTECAO AMBIENTAL DO IBIRAPUITA,APA,PAMPA,RS,31.66824938,0.01,2023
