ind,UC,Bioma,Area_queimada,Area_UC,Perc_UC,Data_ult_atual
0,APA MORRO DA PEDREIRA,CERRADO,6668.971265,100131.3,6.660226388,04/11/2015
1,ESEC DA TERRA DO MEIO,AMAZONIA,2599.194246,3373066.104,0.077057317,02/09/2015
2,ESEC DE CARACARAI,AMAZONIA,3975.506384,86794.97982,4.580341388562664,19/02/2015
3,ESEC DE URUCUI-UNA,CERRADO,59146.66015,137148,43.12615579374107,19/10/2015
4,ESEC RASO DA CATARINA,CAATINGA,1758.15473,104844.4,1.676918109121708,20/11/2015
5,ESEC SERRA GERAL DO TOCANTINS,CERRADO,233367.8301,707087.5566107035,33.004092341209706,04/11/2015
6,FLONA DE ALTAMIRA,AMAZONIA,3223.061526,723185.9826,0.4456753315954629,31/08/2015
7,FLONA DE BRASILIA,CERRADO,760.495879,9336.246379,8.145627783673124,13/10/2015
8,FLONA DE MULATA,AMAZONIA,584.055277,216604.18,0.26964173867743463,26/11/2015
9,FLONA DE RORAIMA,AMAZONIA,696.868286,167252.18,0.41665722144847384,03/04/2015
10,FLONA DO BOM FUTURO,AMAZONIA,3956.609539,97385.25244,4.062842617404198,17/09/2015
11,FLONA DO IQUIRI,AMAZONIA,410.32493,1472609.1,0.027863805133351408,17/09/2015
12,FLONA DO JAMANXIM,AMAZONIA,30275.23073,1301643.531,2.3259233434938196,04/10/2015
13,PARNA DA CHAPADA DAS MESAS,CERRADO,19498.65597,159951,12.19039328731924,10/08/2015
14,PARNA DA CHAPADA DIAMANTINA,CAATINGA,34094.21648,152143.877,22.409193950163587,25/12/2015
15,PARNA DA CHAPADA DOS GUIMARAES,CERRADO,6643.012856,32646.83,20.34810992675246,21/09/2015
16,PARNA DA CHAPADA DOS VEADEIROS,CERRADO,14581.17184,64796.12,22.503155810872627,14/11/2015
17,PARNA DA SERRA DA CANASTRA,CERRADO,38117.15495,197809,19.269676785308356,30/10/2015
18,PARNA DA SERRA DAS CONFUSOES,CAATINGA,73486.60136,823854.5391,8.919851487779654,30/11/2015
19,PARNA DA SERRA DO CIPO,CERRADO,7547.812856,31639.53,23.855641521855727,22/10/2015
20,PARNA DA SERRA DO GANDARELA,MATA ATLANTICA,470.672343,31270.83,1.5051482259984785,19/10/2015
21,PARNA DAS EMAS,CERRADO,37394.50722,132642,28.192056226534582,22/10/2015
22,PARNA DAS NASCENTES DO RIO PARNAIBA,CERRADO,226328.2168,724329.3169529052,31.24659067482085,04/11/2015
23,PARNA DAS SEMPRE-VIVAS,CERRADO,3991.198832,124155.8993,3.214667087018726,22/10/2015
24,PARNA DE BRASILIA,CERRADO,241.346949,42355.54,0.5698119986193069,17/10/2015
25,PARNA DE ILHA GRANDE,MATA ATLANTICA,9662.537108,76079.21582,12.700626582764531,08/02/2015
26,PARNA DE PACAAS NOVOS,AMAZONIA,9300.695087,708669.9043,1.312415700326921,23/09/2015
27,PARNA DO ARAGUAIA,CERRADO,239066.5631,555517,43.034967993058714,29/10/2015
28,PARNA DO CABO ORANGE,AMAZONIA,2254.66774,657327.77,0.3430050947033623,21/11/2015
29,PARNA DO DESCOBRIMENTO,MATA ATLANTICA,192.04,22694.26,0.8462051637726897,28/01/2015
30,PARNA DO JAMANXIM,AMAZONIA,1378.13333,859805.2111,0.1602843658390233,12/09/2015
31,PARNA DO RIO NOVO,AMAZONIA,490.329683,538151.9519,0.091113612,13/08/2015
32,PARNA DOS CAMPOS AMAZONICOS,AMAZONIA,4954.978585,961326.3773678265,0.5154314602879253,20/08/2015
33,PARNA E HISTORICO DO MONTE PASCOAL,MATA ATLANTICA,1127.956195,22332.2,5.050806436446028,27/12/2015
34,PARNA GRANDE SERTAO VEREDAS,CERRADO,8653.826717,230853.42,3.7486240043573966,08/10/2015
35,PARNA MAPINGUARI,AMAZONIA,14038.99811,1776928.65,0.7900710087036978,26/09/2015
36,RDS NASCENTES GERAIZEIRAS,MATA ATLANTICA E CERRADO,258.955452,38177.26,0.6782976358177616,04/11/2015
37,REBIO DA MATA ESCURA,MATA ATLANTICA,434.886074,50892.39,0.8545208311105059,08/11/2015
38,REBIO DE POCO DAS ANTAS,MATA ATLANTICA,502.856129,5052.53,9.952560974402923,24/09/2015
39,REBIO DO GUAPORE,AMAZONIA,8121.5643,615776.33,1.3189146617571352,01/11/2015
40,REBIO DO GURUPI,AMAZONIA,21184.74792,271201.42,7.811444321346106,29/12/2015
41,REBIO DO LAGO PIRATUBA,AMAZONIA,3643.711411,392474.84,0.9283936292578653,07/12/2015
42,REBIO NASCENTES DA SERRA DO CACHIMBO,AMAZONIA,2021.402825,342195.7729,0.590715311,22/08/2015
43,RESEX CHAPADA LIMPA,CERRADO,1911.317968,11973.23,15.963261108322484,28/10/2015
44,RESEX DE CANAVIEIRAS,MATA ATLANTICA,848.731733,100727.69,0.842600215,28/10/2015
45,RESEX DE RECANTO DAS ARARAS DE TERRA RONCA,CERRADO,6630.799792,12349.32985,53.69360015050636,20/10/2015
46,RESEX DO RIO CAJARI,AMAZONIA,27080.09746,532404.15,5.086379859924082,03/12/2015
47,RESEX RENASCER,AMAZONIA,372.52112,209667.37,0.17767243419898862,28/11/2015
48,RESEX VERDE PARA SEMPRE,AMAZONIA,698.95637,1289320.12,0.054211236,28/11/2015
49,REVIS DAS VEREDAS DO OESTE BAIANO,CERRADO,11236.3966,128048.99,8.775076319617982,11/10/2015
