ind,UC,Bioma,Area_queimada,Area_UC,Perc_UC,Data_ult_atual
0,APA CAVERNAS DO PERUACU,CAATINGA,260.650252,115210.47,0.2262383375399823,24/02/2017
1,APA DA BACIA DO RIO DESCOBERTO,CERRADO,1585.3850398576797,33288.09,4.762619422915763,02/09/2017
2,APA DA BACIA DO RIO PARAIBA DO SUL,MATA ATANTICA,182.09029,275416.58,0.066114498,01/03/2017
3,APA DA BACIA DO RIO SAO BARTOLOMEU,CERRADO,1620.0416928794402,82018.38,1.9752178632148554,02/09/2017
4,APA DA SERRA DA MANTIQUEIRA,MATA ATANTICA,3703.56,437520.2333,0.846488852,21/09/2017
5,APA DAS ILHAS E VARZEAS DO RIO PARANA,MATA ATANTICA,5972.299411,929108.47,0.642798942,14/04/2017
6,APA DAS NASCENTES DO RIO VERMELHO,CERRADO,7592.341290295999,176324.32,4.305895687161022,04/09/2017
7,APA DELTA DO PARNAIBA,MARINHO COSTEIRO,1367.105858,280627.03,0.48716114695009954,13/07/2017
8,APA DO PLANALTO CENTRAL,CERRADO,13509.7,485308.11,2.7837367069756986,18/10/2017
9,APA MEANDROS DO RIO ARAGUAIA,CERRADO,114142.6051,359194.1,31.777416470370753,28/10/2017
10,APA MORRO DA PEDREIRA,CERRADO,360.288892,100131.3,0.3598164529972146,26/01/2017
11,APA SERRA DE IBIAPABA,CAATINGA,9986.076513,1622145.088,0.61560933,21/06/2017
12,ESEC DA SERRA DAS ARARAS,CERRADO,2450.41,27159.71,9.022224464105102,23/09/2017
13,ESEC DA TERRA DO MEIO,AMAZONIA,8815.147,3373172.52,0.2613310451135776,19/09/2017
14,ESEC DE IQUE,AMAZONIA,440.36,222554.64,0.1978660161837111,12/09/2017
15,ESEC DE URUCUI-UNA,CERRADO,27425.18556,137148,19.996781259661095,22/10/2017
16,ESEC SERRA GERAL DO TOCANTINS,CERRADO,185744.0653,707087.5566107035,26.26889181848011,29/10/2017
17,FLONA DE ALTAMIRA,AMAZONIA,5562.932839,723185.98,0.7692257583588665,10/09/2017
18,FLONA DE BRASILIA,CERRADO,2634.638491,9336.26,28.21942074235293,18/10/2017
19,FLONA DE CARAJAS,AMAZONIA,290.479337,391241.94,0.07424545,07/07/2017
20,FLONA DE ITAITUBA II,AMAZONIA,1293.648055,397754.6,0.325237736,05/09/2017
21,FLONA DE JACUNDA,AMAZONIA,182.58845,221219.52,0.082537224,14/08/2017
22,FLONA DO ARIPUANA,AMAZONIA,531.789575,751302.17,0.070782382,14/08/2017
23,FLONA DO BOM FUTURO,AMAZONIA,5056.160153,97385.25244,5.191915641,16/09/2017
24,FLONA DO ITACAIUNAS,AMAZONIA,1107.762085,136679.56,0.8104811611919149,19/09/2017
25,FLONA DO JAMANXIM,AMAZONIA,37380.5766,1301695.41,2.871683829475899,26/09/2017
26,FLONA DO JAMARI,AMAZONIA,40.17,222116.12,0.018085134928522973,24/07/2017
27,MN DOS PORTOES CAPIXABAS,MATA ATANTICA,85.485398,17443.63,0.4900665629802971,14/03/2017
28,PARNA DA CHAPADA DAS MESAS,CERRADO,20046.72515,159953.7806,12.532823593517392,27/09/2017
29,PARNA DA CHAPADA DIAMANTINA,CAATINGA,355.969506,152143.877,0.23396899895058046,23/07/2017
30,PARNA DA CHAPADA DOS GUIMARAES,CERRADO,4309.47349,32646.83,13.200281589361051,18/09/2017
31,PARNA DA CHAPADA DOS VEADEIROS,CERRADO,86491.95178,240586.56,35.95045034103318,26/10/2017
32,PARNA DA LAGOA DO PEIXE,PAMPA,69.55,36721.93,0.1893963634264321,24/02/2017
33,PARNA DA SERRA DA BOCAINA,MATA ATANTICA,1011.958084,103870.39,0.9742507792644275,24/09/2017
34,PARNA DA SERRA DA CANASTRA,CERRADO,50598.45,197809,25.579447851210006,20/10/2017
35,PARNA DA SERRA DAS CONFUSOES,CAATINGA,6560.359864,823854.54,0.7963007479451409,29/10/2017
36,PARNA DA SERRA DO CIPO,CERRADO,614.008036,31639.53,1.9406357679775899,12/09/2017
37,PARNA DA SERRA DO GANDARELA,MATA ATANTICA,44.245034,31270.82,0.14148984260726133,25/01/2017
38,PARNA DA SERRA DO PARDO,AMAZONIA,2304.89,445413.55,0.5174719089708879,25/08/2017
39,PARNA DA SERRA GERAL,MATA ATANTICA,21.51,17302,0.12432088775864061,25/07/2017
40,PARNA DA TIJUCA*,MATA ATANTICA,4.9233460000000004,3958.511695,0.12437366311734492,14/09/2017
41,PARNA DAS EMAS,CERRADO,16316.40423,132787.86,12.287572245685714,27/10/2017
