ind,UC,Bioma,Area_queimada,Area_UC,Perc_UC,Data_ult_atual,Satelite
0,APA CAVERNAS DO PERUACU,CERRADO,123.906377,143355.58,0.086432894,13/11/2019,Landsat / Sentinel
1,ESEC DA SERRA DAS ARARAS,CERRADO,3482.467488,27159.71,12.822182151429452,23/09/2019,Modis
2,ESEC DA TERRA DO MEIO,AMAZONIA,8201.561971455063,3373174.676,0.24314074305937397,09/09/2019,Modis
3,ESEC DE AIUABA,CAATINGA,144.91,11746.78,1.233614658655393,06/11/2019,Modis
4,ESEC DE CUNIA,AMAZONIA,719.436725,185313.6097,0.3882265992509099,08/07/2019,Modis
5,ESEC DE URUCUI-UNA,CERRADO,39195.458277846126,172347.3187,22.742134069525566,28/10/2019,Modis
6,ESEC SERRA GERAL DO TOCANTINS,CERRADO,172347.31867264572,707087.7396,24.37424792036406,30/10/2019,Modis
7,FLONA DE ALTAMIRA,AMAZONIA,10089.86086,724973.9366,1.3917549791937052,23/09/2019,Modis
8,FLONA DE BRASILIA,CERRADO,1523.819137,9336.246392,16.321539439080393,24/09/2019,Modis
9,FLONA DE RORAIMA,AMAZONIA,54500.40523772123,169628.7017,32.129235615823525,29/04/2019,Modis
10,FLONA DO AMAZONAS,AMAZONIA,186.609476,1944230.095,0.009598117,25/02/2019,Modis
11,FLONA DO ARARIPE-APODI,CAATINGA,999.451386,38920.06,2.5679595201035146,23/12/2019,Modis
12,FLONA DO ARIPUANA,AMAZONIA,100.5273192,751302.174,0.013380411064081981,28/07/2019,Modis
13,FLONA DO BOM FUTURO,AMAZONIA,5069.957058,97385.25244,5.2060829861609825,09/09/2019,Modis
14,FLONA DO JAMANXIM,AMAZONIA,50227.77364861864,1301697.465,3.858636511549678,27/09/2019,Modis
15,FLONA DO JAMARI,AMAZONIA,1194.09,222156.57,0.5374992961045446,27/10/2019,Modis
16,PARNA DA CHAPADA DAS MESAS,CERRADO,14061.941247396777,159953.7806,8.791252817,15/07/2019,Modis
17,PARNA DA CHAPADA DOS GUIMARAES,CERRADO,7249.53083,32646.83188,22.205924473373614,13/09/2019,Modis
18,PARNA DA CHAPADA DOS VEADEIROS,CERRADO,41889.35384,240586.56,17.411344107916918,27/12/2019,Modis
19,PARNA DA CHAPADA DOS VEADEIROS,CERRADO,1380.530609,240586.5633,0.5738186662725382,22/02/2019,Landsat / Sentinel
20,PARNA DA LAGOA DO PEIXE,PAMPA,241.685005,36721.93056,0.6581489625793369,24/03/2019,Landsat / Sentinel
21,PARNA DA SERRA DA CANASTRA,CERRADO,41897.359641467694,197971.9612,21.16327958521354,17/10/2019,Modis
22,PARNA DA SERRA DAS CONFUSOES,CERRADO,2038.7282216990002,823854.54,0.24746215778564504,10/10/2019,Modis
23,PARNA DA SERRA DO CIPO,CERRADO,5532.136346,31639.53468,17.48488529564634,05/11/2029,Modis
24,PARNA DA SERRA DO CIPO,CERRADO,884.561055,31639.53468,2.7957460945180608,24/09/2019,Landsat / Sentinel
25,PARNA DA SERRA DO GANDARELA,MATA ATANTICA,140.760147,31270.8261,0.45013248625209384,17/08/2019,Modis
26,PARNA DA SERRA DO PARDO,AMAZONIA,4765.906903069999,445413.4472,1.0699961872995964,16/10/2019,Modis
27,PARNA DAS EMAS,CERRADO,46500.66655,132787.8603,35.018763334492284,31/10/2019,Modis
28,PARNA DAS NASCENTES DO RIO PARNAIBA,CERRADO,196611.26411856242,724329.3169529052,27.143905336548155,07/11/2019,Modis
29,PARNA DAS SEMPRE-VIVAS,CERRADO,1421.781249,124155.8993,1.145158028769137,19/10/2019,Modis
30,PARNA DE APARADOS DA SERRA,MATA ATANTICA,1661.399147,13148.13,12.636010953648924,22/09/2019,Modis
31,PARNA DE BRASILIA,CERRADO,2722.693936,42355.54188,6.428188178942329,24/09/2019,Modis
32,PARNA DE ILHA GRANDE,MATA ATANTICA,47440.619,76138.18612,62.30857526665513,20/08/2019,Modis
33,PARNA DE ITATIAIA,MATA ATANTICA,143.302753,28086.34961,0.5102220651489718,17/08/2019,Modis
34,PARNA DE SAO JOAQUIM,MATA ATANTICA,1523.995841,49672.37569,3.0680953346473703,25/10/2019,Modis
35,PARNA DA SERRA GERAL,MATA ATANTICA,28.131898,17302.01,0.16259323627717245,22/09/2019,Modis
36,PARNA DO ACARI,AMAZONIA,445.040838,896410.9545,0.049646966,06/08/2019,Modis
37,PARNA DO ARAGUAIA,CERRADO,329410.2527,555517,59.29796076735725,03/11/2019,Modis
