ind,UC,Bioma,Incendio,MIF,Area_queimada,Area_UC,Perc_UC,Data_ult_atual,Satelite
0,APA CAVERNAS DO PERUACU,CERRADO,,,85.951499,143355.5857,0.059956854,17/01/2020,Landsat / Sentinel
1,APA DA BACIA DO RIO PARNAIBA DO SUL,CERRADO,,,187.92,292599.9242,0.064224213,20/07/2020,Landsat / Sentinel
2,APA DA REGIAO SERRANA DE PETROPOLIS,MATA ATLANTICA,,,549.993164,68224.29479,0.8061544141669784,11/08/2020,Landsat / Sentinel
3,APA DA SERRA DA MANTIQUEIRA,MATA ATLANTICA,,,547.590278,437524.5684,0.12515646378041773,27/07/2020,Landsat / Sentinel
4,ESEC DA SERRA DAS ARARAS,CERRADO,,,22664.36309,27159.7104,83.44847111,13/10/2020,Landsat / Sentinel
5,ESEC DA TERRA DO MEIO,AMAZONIA,,,8466.720824,3373174.676,0.25100155306860555,21/08/2020,Modis
6,ESEC DE CUNIA,AMAZONIA,,,832.138542,185313.6097,0.44904340443041807,24/08/2020,Modis
7,ESEC DE TAIAMA,PANTANAL,,,3996.831054,11554.98242,34.58967663531847,03/10/2020,Landsat / Sentinel
8,ESEC DE URUCUI-UNA,CERRADO,,,43551.23092,135122.2913,32.23097424255375,21/10/2020,Modis
9,ESEC SERRA GERAL DO TOCANTINS,CERRADO,94474.34411800001,166668.8733,261143.2174,707087.7396,36.932222524681485,15/11/2020,Modis
10,FLONA DE ALTAMIRA,AMAZONIA,,,10442.96634,724973.9366,1.440460933875752,09/09/2020,Modis
11,FLONA DE BRASILIA,CERRADO,263.431875,182.049589,445.481464,9336.246392,4.771526428241249,31/07/2020,Landsat / Sentinel
12,FLONA DE CARAJAS,AMAZONIA,,,10625.16781,391263.0377,2.7156073489998573,12/10/2020,Landsat / Sentinel
13,FLONA DO ARIPUANA,AMAZONIA,,,2385.300613,751302.174,0.3174888474228252,23/09/2020,Modis
14,FLONA DO BOM FUTURO,AMAZONIA,,,3066.13866,100075.1279,3.0638368650519485,29/08/2020,Modis
15,FLONA DO JAMANXIM,AMAZONIA,,,66665.30269,1301697.465,5.121412962,17/10/2020,Modis
16,PARNA DA CHAPADA DAS MESAS,CERRADO,32884.19727,5646.958971,38531.15625,159953.78,24.088931343166756,29/09/2020,Landsat / Sentinel
17,PARNA DA CHAPADA DIAMANTINA,CAATINGA,513.850939,,513.850939,152143.9141,0.3377400549167113,08/10/2020,Landsat / Sentinel
18,PARNA DA CHAPADA DOS GUIMARAES,CERRADO,31.493575,870.668451,902.162026,32646.83188,2.763398388375668,19/08/2020,Landsat / Sentinel
19,PARNA DA CHAPADA DOS VEADEIROS,CERRADO,36124.5151,6602.12723,42726.64233,240586.5633,17.759363504545753,17/10/2020,Modis
20,PARNA DA SERRA DA CANASTRA,CERRADO,74253.98688,10000.03052,84254.0174,197971.9612,42.55856076871611,05/10/2020,Modis
21,PARNA DA SERRA DAS CONFUSOES,CERRADO,,,1070.108701,823854.5391,0.12989049039588063,01/10/2020,Modis
22,PARNA DA SERRA DO CIPO,CERRADO,17891.42478,134.595934,18026.02072,31639.53468,56.973090477349125,15/10/2020,Modis
23,PARNA DA SERRA DO GANDARELA,MATA ATLANTICA,,,1437.74049,31270.8261,4.597705495071724,26/09/2020,Modis
24,PARNA DA SERRA DO ITAJAI,MATA ATLANTICA,,,2.92,56918.10921,0.005130177,03/07/2020,Landsat / Sentinel
25,PARNA DA SERRA DOS ORGAOS,MATA ATLANTICA,,,328.358296,20020.74607,1.6400902090958116,11/08/2020,Landsat / Sentinel
26,PARNA DAS EMAS,CERRADO,29159.47601,5277.038478,34436.51449,132787.8603,25.93348097097393,13/10/2020,Modis
27,PARNA DAS NASCENTES DO RIO PARNAIBA,CERRADO,,,205335.9804,749774.1752,27.38637675361551,21/10/2020,Modis
28,PARNA DAS SEMPRE VIVAS,CERRADO,,,2409.912271,124155.8993,1.941037263856728,30/09/2020,Modis
29,PARNA DE BRASILIA,CERRADO,993.69919,2043.917947,3037.617137,42355.54188,7.171711191637972,19/09/2020,Landsat / Sentinel
30,PARNA DE ILHA GRANDE,MATA ATLANTICA,,,4306.114902,76138.18,5.655657781680624,17/10/2020,Landsat / Sentinel
31,PARNA DE PACAAS NOVOS,AMAZONIA,0,12130.53759,12130.53759,708669.9042,1.711733138654579,26/10/2020,Modis
32,PARNA DE SAO JOAQUIM,MATA ATLANTICA,,,4553.983848,49672.37569,9.168041160099387,27/08/2020,Landsat / Sentinel
33,PARNA DO ARAGUAIA,CERRADO,219673.7966,34829.53394,254503.3305,555524.4384,45.81316553212965,11/11/2020,Modis
34,PARNA DO PANTANAL MATOGROSSENSE,PANTANAL,116436.485,16243.02902,132679.51403299998,135922.6462,97.61398688681554,17/12/2020,Landsat / Sentinel
35,PARNA DO RIO NOVO,AMAZONIA,,,2272.033559,538157.1467,0.4221877518192064,07/10/2020,Modis
36,PARNA DOS CAMPOS AMAZONICOS,AMAZONIA,8061.682395,12461.17504,20522.85743,961326.6491,2.1348474473511785,18/09/2020,Modis
37,PARNA E HISTORICO DO MONTE PASCOAL,MATA ATLANTICA,,,322.124381,22239.84438,1.4484111288056065,04/03/2020,Modis
38,PARNA GRANDE SERTAO VEREDAS,CERRADO,,,94140.23766,230856.1429,40.77874492042363,16/10/2020,Modis
39,REBIO DA CONTAGEM,CERRADO,0,291.537871,291.537871,9336.246392,3.1226454268581825,31/07/2020,Landsat / Sentinel
40,REBIO DA MATA ESCURA,MATA ATLANTICA,2226.687908,,2226.687908,50892.38797,4.375286750594372,15/10/2020,Landsat / Sentinel
41,REBIO DO GUAPORE,AMAZONIA,12033.50272,35200.21916,47233.72187,615776.3294,7.670597198578037,26/10/2020,Modis
42,REBIO DO MANICORE,AMAZONIA,,,1633.671454,359137.5455,0.4548874030303362,09/09/2020,Modis
43,REBIO NASCENTES DA SERRA DO CACHIMBO,AMAZONIA,,,25926.71332,342195.7729,7.576573228,01/10/2020,Modis
44,RESEX DE RECANTO DAS ARARAS DE TERRA RONCA,CERRADO,,,1363.117754,12349.32981,11.037989715258401,16/10/2020,Modis
45,RESEX DO LAGO DO CAPANA GRANDE,AMAZONIA,,,511.826749,304313.441,0.16819064819740434,22/08/2020,Modis
46,REVIS DAS VEREDAS DO OESTE BAIANO,CERRADO,16927.74955,1211.424398,18139.17395,128050.5526,14.165635037980598,14/10/2020,Modis
