,UC,Bioma,Fogo_natural,Queima_indig_isol,Incendio,Queima_controlada,Queima_prescrita,Gestao_raio,Aceiro_negro,Area_queimada,Area_UC,`Perc_UC,Data_ult_atual,Satelite
0,APA DA SERRA DA MANTIQUEIRA,MATA ATLANTICA,0.0,0.0,1586.9,0.0,0.0,0.0,0.0,1586.9,437524.568416,0.3626996321018411,2022-02-02,Landsat / Sentinel
1,ESEC DA TERRA DO MEIO,AMAZONIA,0.0,0.0,8117.579044,0.0,0.0,0.0,0.0,8117.579044,3373167.77419,0.24065150586674502,2022-02-02,Modis
2,ESEC DE URUCUI-UNA,CERRADO,0.0,0.0,17915.96,0.0,0.0,0.0,0.0,17915.96,135122.291347,13.259070595532625,2022-02-01,Landsat / Sentinel
3,ESEC RASO DA CATARINA,CAATINGA,0.0,0.0,436.735062,0.0,0.0,0.0,0.0,556.68,104844.40227,0.5309582466466952,2022-02-01,Landsat / Sentinel
4,ESEC SERRA GERAL DO TOCANTINS,CERRADO,0.0,0.0,83000.112321,3271.864068,50523.001321,0.0,0.0,136794.97771,707087.739633,19.346252246008504,2022-02-02,Landsat / Sentinel
5,FLONA DE ALTAMIRA,AMAZONIA,0.0,0.0,11031.48,0.0,0.0,0.0,0.0,11031.48,722947.443866,1.5259034517099295,2022-02-02,Modis
6,FLONA DE BRASILIA,CERRADO,0.0,0.0,1988.87,0.0,0.0,0.0,0.0,1988.87,9336.246379,21.302672608057573,2022-02-02,Landsat / Sentinel
7,FLONA DE ITAITUBA II,AMAZONIA,0.0,0.0,625.697569,0.0,0.0,0.0,0.0,625.697569,397754.421303,0.15730750822336134,2022-02-02,Landsat / Sentinel
8,FLONA DO BOM FUTURO,AMAZONIA,0.0,0.0,7200.644236,0.0,0.0,0.0,0.0,7200.644236,100075.127856,7.195238607500101,2022-02-02,Landsat / Sentinel
9,FLONA DO ITACAIUNAS,AMAZONIA,0.0,0.0,400.46,0.0,0.0,0.0,0.0,400.46,136680.782956,0.29298924935842313,2022-02-02,Landsat / Sentinel
10,FLONA DO JAMANXIM,AMAZONIA,0.0,0.0,44461.549547,0.0,0.0,0.0,0.0,44461.549547,1301697.46485,3.415659225557721,2022-02-02,Modis
11,PARNA CAVERNAS DO PERUACU,CERRADO,0.0,0.0,148.19,0.0,0.0,0.0,0.0,148.19,56449.004005,0.2625201323071599,2022-02-02,Landsat / Sentinel
12,PARNA DA CHAPADA DAS MESAS,CERRADO,0.0,0.0,33706.213584,0.0,0.0,0.0,0.0,33706.213584,159953.780643,21.072470715292887,2022-02-02,Landsat / Sentinel
13,PARNA DA CHAPADA DIAMANTINA,CAATINGA,0.0,0.0,2765.26,0.0,0.0,0.0,0.0,2765.26,152143.91409,1.8175291575345063,2022-02-02,Landsat / Sentinel
14,PARNA DA CHAPADA DOS GUIMARAES,CERRADO,0.0,0.0,666.68,0.0,0.0,0.0,0.0,666.68,32646.83188,2.042097078364346,2022-02-02,Modis
15,PARNA DA CHAPADA DOS VEADEIROS,CERRADO,0.0,0.0,33128.934681,94.189,5817.415836,0.0,85.373811,39125.913327999995,240586.563342,16.262717578446598,2022-03-10,Modis
16,PARNA DA RESTINGA DE JURUBATIBA,MATA ATLANTICA,0.0,0.0,79.8,0.0,0.0,0.0,0.0,79.8,14919.464893,0.5348717301345105,2022-02-02,Landsat / Sentinel
17,PARNA DA SERRA DA BODOQUENA,CERRADO,0.0,0.0,13.62,0.0,0.0,0.0,0.0,13.62,77022.0,0.017683259328503544,2022-02-02,Modis
18,PARNA DA SERRA DA CANASTRA,CERRADO,0.0,0.0,27910.51,0.0,12757.207262,0.0,0.0,40667.717262,197971.961164,20.54216012352924,2022-02-02,Landsat / Sentinel
19,PARNA DA SERRA DAS CONFUSOES,CERRADO,0.0,0.0,39222.26,0.0,0.0,0.0,0.0,39222.26,823854.539111,4.7608234388468285,2022-02-02,Modis
20,PARNA DAS EMAS,CERRADO,7213.28,0.0,32815.91,0.0,0.0,0.0,0.0,40029.19,132787.860336,30.145218018207434,2022-02-02,Modis
21,PARNA DAS NASCENTES DO RIO PARNAIBA,CERRADO,0.0,0.0,157205.67,0.0,2271.574095,0.0,0.0,159477.244095,749774.175165,21.27003694944607,2022-02-02,Landsat / Sentinel
22,PARNA DE BRASILIA,CERRADO,0.0,0.0,7370.72,88.581341,1943.37,0.0,497.3,9899.971341,42355.544061,23.373495868078493,2022-02-02,Landsat / Sentinel
23,PARNA DE ILHA GRANDE,MATA ATLANTICA,0.0,0.0,42473.16,0.0,0.0,0.0,0.0,42473.16,76138.186118,55.78430767207209,2022-02-02,Modis
24,PARNA DE PACAAS NOVOS,AMAZONIA,0.0,7241.543172,430.138018,0.0,0.0,0.0,0.0,7671.681189999999,708669.904208,1.0825464923014851,2022-02-02,Landsat / Sentinel
25,PARNA DO ARAGUAIA,CERRADO,0.0,0.0,206549.673643,8362.159247,28944.471828,0.0,0.0,243856.304718,555524.438403,43.896593535835905,2022-02-02,Modis
