ind,UC,Incendio,Queima_prescrita,Queima_controlada,Aceiro,Fogo_natural,Queima_indigena,Raio,Area_total,Area_UC,Perc_AAF_UC
0,APA CAVERNAS DO PERUACU,640.7274810021117,0,0,0,0,0,0,640.7274810021117,143355.578,0.45
1,APA DA BACIA DO RIO DESCOBERTO,2249.437313626532,1.018274584414293,0,0,0,0,0,2250.455588210946,41783.6133,5.39
2,APA DA BACIA DO RIO PARAIBA DO SUL,647.0417257656574,0,0,0,0,0,0,647.0417257656574,292599.938,0.22
3,APA DA BACIA DO RIO SAO BARTOLOMEU,557.2478398057513,0,0,0,0,0,0,557.2478398057513,82680.8047,0.67
4,APA DA BACIA DO RIO SAO JOAO/MICO-LEAO-DOURADO,148.5636849584413,0,0,0,0,0,0,148.5636849584413,150374.609,0.1
5,APA DA BALEIA FRANCA,2.718304151692986,0,0,0,0,0,0,2.718304151692986,154867.406,0
6,APA DA CHAPADA DO ARARIPE,0,0,0.5936993665357935,0,0,0,0,0.5936993665357935,972605.188,0
7,APA DA REGIAO SERRANA DE PETROPOLIS,236.8810286742184,0,0,0,0,0,0,236.8810286742184,68224.2969,0.35
8,APA DA SERRA DA MANTIQUEIRA,60.62824790369197,0,0,0,0,0,0,60.62824790369197,437524.562,0.01
9,APA DAS ILHAS E VARZEAS DO RIO PARANA,1544.166238982511,0,0,0,0,0,0,1544.166238982511,1005188.38,0.15
10,APA DAS NASCENTES DO RIO VERMELHO,13652.24067096924,0,0,0,0,0,0,13652.24067096924,176324.328,7.74
11,APA DELTA DO PARNAIBA,154.9667068602534,0,0,0,0,0,0,154.9667068602534,309593.781,0.05
12,APA DO BOQUEIRAO DA ONCA,1684.480470657638,0,0,0,0,0,0,1684.480470657638,505694.312,0.33
13,APA DO IBIRAPUITA,3316.898246227431,0,0,0,0,0,0,3316.898246227431,316792,1.05
14,APA DO PLANALTO CENTRAL,19477.59788633194,0.9484661029726267,0,29.39731273872081,0,0,0,19507.94366517364,503423.344,3.88
15,APA MEANDROS DO RIO ARAGUAIA,35269.48189254802,0,0,0,0,0,0,35269.48189254802,359194.094,9.82
16,APA MORRO DA PEDREIRA,4977.367832354927,0,0,0,0,0,0,4977.367832354927,131770.844,3.78
17,APA SERRA DA IBIAPABA,5102.337456956082,0,0,0,0,0,0,5102.337456956082,1628450.12,0.31
18,APA SERRA DA TABATINGA,72.52369509742857,0,0,0,0,0,0,72.52369509742857,41779.6094,0.17
19,ESEC DA MATA PRETA,8.416584326437116,0,0,0,0,0,0,8.416584326437116,6573.47998,0.13
20,ESEC DA SERRA DAS ARARAS,0,844.2002399366688,0,0,0,0,0,844.2002399366688,27159.7109,3.11
21,ESEC DA TERRA DO MEIO,2941.719043101591,0,0,0,0,0,0,2941.719043101591,3373174.75,0.09
22,ESEC DE CUNIA,5145.325183476571,0,0,0,0,0,0,5145.325183476571,185313.609,2.78
23,ESEC DE URUCUI-UNA,39959.08086539835,0,147.6733084242985,0,0,0,0,40106.75417382266,135122.297,29.68
24,ESEC DO TAIM,11928.75871800227,0,0,0,167.4930616664412,0,0,12096.25177966871,32806.3125,36.87
25,ESEC SERRA GERAL DO TOCANTINS,153085.3492609534,129365.9200852082,15365.46324286022,0,0,0,0,297816.7325890216,707087.75,42.12
26,FLONA DE BRASILIA,1762.094852578314,317.6044693515033,0,0,0,0,0,2079.699321929818,9336.24609,22.28
27,FLONA DE HUMAITA,8.873351652006805,0,0,0,0,0,0,8.873351652006805,472454.906,0
28,FLONA DE JACUNDA,126.3545094204835,0,0,0,0,0,0,126.3545094204835,221219.531,0.06
29,FLONA DE RORAIMA,52.70952430777503,0,0,0,0,0,0,52.70952430777503,169628.703,0.03
30,FLONA DE SAO FRANCISCO DE PAULA,2.537837538,0,0,0,0,0,0,2.537837538,1615.60022,0.16
31,FLONA DE SILVANIA,17.73353832064867,0,0,0,0,0,0,17.73353832064867,486.607819,3.64
32,FLONA DO ARIPUANA,1620.482895813206,0,0,0,0,0,0,1620.482895813206,751302.188,0.22
33,FLONA DO BOM FUTURO,4435.065891,0,0,0,0,0,0,4435.065891,100075.125,4.43
34,FLONA DO IQUIRI,0,336.5506083024353,0,0,0,0,0,336.5506083024353,1472609.75,0.02
35,FLONA DO ITACAIUNAS,288.6692621531263,0,0,0,0,0,0,288.6692621531263,136700.656,0.21
36,FLONA DO JAMANXIM,42494.14533639582,0,0,0,0,0,0,42494.14533639582,1301697.5,3.26
37,FLONA DO TAPAJOS,39.5520336,0,0,0,0,0,0,39.5520336,530620.625,0.01
38,PARNA DA AMAZONIA,1.811500137823448,0,0,0,0,0,0,1.811500137823448,1066208.12,0
39,PARNA DA CHAPADA DAS MESAS,26554.88981298276,11622.54546907752,25790.23209492467,0,0,0,0,63967.66737698494,159953.781,39.99
40,PARNA DA CHAPADA DIAMANTINA,401.8644489950325,0,0,0,619.3114079485244,0,244.2945265715532,1265.470384,152143.922,0.83
41,PARNA DA CHAPADA DOS GUIMARAES,623.8109226587679,1306.904202820823,0,0,0,0,0,1930.715125479591,32646.832,5.91
42,PARNA DA CHAPADA DOS VEADEIROS,54351.61059709079,8296.833824545341,0,200.9146256906629,1769.820426634195,0,0,64619.17947,240586.562,26.86
43,PARNA DAS EMAS,3.038620430653542,14756.08360871338,0,58.22716227963567,0,0,0,14817.34939142367,132787.859,11.16
44,PARNA DA SERRA DA BOCAINA,629.8043081480131,0,0,0,0,0,0,629.8043081480131,106566.422,0.59
45,PARNA DA SERRA DA BODOQUENA,6.233298369152844,0,0,0,0,0,0,6.233298369152844,76973.5312,0.01
46,PARNA DA SERRA DA CANASTRA,36118.28023748597,14491.86504223421,2560.485211720858,554.0498275392727,1234.495507823242,0,0,54959.17582680356,197971.969,27.76
47,PARNA DA SERRA DA CAPIVARA,41.53382271510213,0,0,0,0,0,0,41.53382271510213,100764.195,0.04
48,PARNA DA SERRA DAS CONFUSOES,16301.52033857773,0,0,0,0,0,0,16301.52033857773,823854.562,1.98
49,PARNA DA SERRA DO CIPO,761.6145298466521,0,0,0,0,0,0,761.6145298466521,31639.5352,2.41
50,PARNA DA SERRA DO GANDARELA,2072.176226934783,0,0,0,0,0,0,2072.176226934783,31270.8262,6.63
51,PARNA DA SERRA DO ITAJAI,4.420108963432908,0,0,0,0,0,0,4.420108963432908,56918.1094,0.01
52,PARNA DA SERRA DO PARDO,196.6176889859368,0,0,0,0,0,0,196.6176889859368,445413.438,0.04
53,PARNA DA SERRA DOS ORGAOS,34.87399727248093,0,0,0,0,0,0,34.87399727248093,20020.7461,0.17
54,PARNA DA SERRA GERAL,640.6834141016363,0,0,0,0,0,0,640.6834141016363,17302.0078,3.7
55,PARNA DAS NASCENTES DO RIO PARNAIBA,165033.8700108647,21.24997930808663,0,596.7699451383779,0,0,0,165651.8899353112,749774.188,22.09
