ind,UC,NGI,Incendio,Queima_prescrita,Queima_controlada,Aceiro,Fogo_natural,Indigena_isolado,Total_prevencao,Total_combate,Area_total,Area_UC,Perc_AAF_UC
0,APA CARSTE DE LAGOA SANTA,-,162.8936726,0,0,0,0,0,0,162.8936726,162.8936726,37735.3086,0.43
1,APA CAVERNAS DO PERUACU,Nucleo de Gestao Integrada - ICMBio Peruacu,388.4169684,0,0,0,0,0,0,388.4169684,388.4169684,115209.664,0.34
2,APA DA BACIA DO RIO DESCOBERTO,Nucleo de Gestao Integrada - ICMBio Descoberto-Brasilia,713.0488549,0,0,0,0,0,0,713.0488549,713.0488549,36159.7695,1.97
3,APA DA BACIA PARAIBA DO SUL,Nucleo de Gestao Integrada - ICMBio Rio Paraiba do Sul,545.3385567,0,0,0,0,0,0,545.3385567,545.3385567,292597.844,0.19
4,APA DA BACIA DO RIO SAO BARTOLOMEU,-,184.5129023,0,0,0,0,0,0,184.5129023,184.5129023,82680.1094,0.22
5,APA DA BACIA DO RIO SAO JOAO/MICO-LEAO-DOURADO,Nucleo de Gestao Integrada - ICMBio Mico-Leao-Dourado,523.0380069,0,0,0,7.5656008,0,0,530.6036077,530.6036077,147899.672,0.36
6,APA DA BALEIA FRANCA,-,106.6427139,0,0,0,0,0,0,106.6427139,106.6427139,154868.375,0.07
7,APA DA CHAPADA DO ARARIPE,Nucleo de Gestao Integrada - ICMBio Araripe,0,0,172.7711811,0,0,0,172.7711811,0,172.7711811,933679.312,0.02
8,APA DA REGIAO SERRANA DE PETROPOLIS,Nucleo de Gestao Integrada - ICMBio Serra Fluminense,165.4501,0,0,0,0,0,0,165.4501,165.4501,48942.5312,0.34
9,APA DA SERRA DA MANTIQUEIRA,Nucleo de Gestao Integrada - ICMBio Mantiqueira,247.6535041,0,0,0,0,0,0,247.6535041,247.6535041,419483.406,0.06
10,APA DAS ILHAS E VARZEAS DO RIO PARANA,Nucleo de Gestao Integrada - ICMBio Rio Parana,357.862692,0,0,0,26.7582866,0,0,384.6209786,384.6209786,929043.5,0.04
11,APA DAS NASCENTES DO RIO VERMELHO,Nucleo de Gestao Integrada - ICMBio Mambai,1075.401662,0,0,0,0,0,0,1075.401662,1075.401662,173967.453,0.62
12,APA DE CAIRUCU,Nucleo de Gestao Integrada - ICMBio Paraty,3.812422301,0,0,0,0,0,0,3.812422301,3.812422301,26781.4043,0.01
13,APA DE CANANEIA-IGUAPE-PERUIBE,Nucleo de Gestao Integrada - ICMBio Iguape,2.71218249,0,0,0,0,0,0,2.71218249,2.71218249,201130.344,0
14,APA DE GUAPI-MIRIM,Nucleo de Gestao Integrada - ICMBio Guanabara,159.6051426,0,0,0,0,0,0,159.6051426,159.6051426,11954.1709,1.34
15,APA DO BOQUEIRAO DA ONCA,Nucleo de Gestao Integrada - ICMBio Juazeiro,62.6674761,0,0,0,0,0,0,62.6674761,62.6674761,505645.438,0.01
16,APA DO IBIRAPUITA,-,31.66824938,0,0,0,0,0,0,31.66824938,31.66824938,316789.625,0.01
17,APA DO PLANALTO CENTRAL,-,9508.609727,9.399408811,0,0,0,0,9.399408811,9508.609727,9518.009136,484511.594,1.96
18,APA DO TAPAJOS,UNA Itaituba,1049.666285,0,0,0,0,0,0,1049.666285,1049.666285,2040336.12,0.05
19,APA MEANDROS DO RIO ARAGUAIA,Nucleo de Gestao Integrada - ICMBio Meandros do Rio Araguaia,59709.49648,0,0,0,0,0,0,59709.49648,59709.49648,359190.656,16.62
20,APA MORRO DA PEDREIRA,Nucleo de Gestao Integrada - ICMBio Cipo-Pedreira,194.0391573,56.79232711,0,0,0,0,56.79232711,194.0391573,250.8314845,100130.625,0.25
21,APA SERRA DA IBIAPABA,-,10968.43504,0,0,0,0,0,0,10968.43504,10968.43504,1622418.25,0.68
22,ARIE SERINGAL NOVA ESPERANCA,Nucleo de Gestao Integrada - ICMBio Chico Mendes,1.293673131,0,0,0,0,0,0,1.293673131,1.293673131,2573.98389,0.05
23,ARIE SERRA DA ABELHA/RIO DA PRATA,Nucleo de Gestao Integrada - ICMBio Ibirama,1.974132055,0,0,0,0,0,0,1.974132055,1.974132055,5016.58008,0.04
