id,TIPO_NOME,TIPO,Nome_UC,NGI,GR,CNUC,Atos_legais,UF,Bioma_predominante,Bioma_comp_RL,Area
0,APA ANHATOMIRIM,APA,AREA DE PROTECAO AMBIENTAL ANHATOMIRIM,ICMBio Florianopolis,GR5,0000.00.0001,DEC  528 de 20/05/1992,SC,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,4436.59022669087
1,APA BACIA DO RIO PARAIBA DO SUL,APA,AREA DE PROTECAO AMBIENTAL BACIA DO PARAIBA DO SUL,ICMBio Rio Paraiba do Sul,GR4,0000.00.1521,DEC  87.561 de 13/09/1982,MG;RJ;SP,MATA ATLANTICA,MATA ATLANTICA,292599.924223634
2,APA CARSTE DE LAGOA SANTA,APA,AREA DE PROTECAO AMBIENTAL CARSTE DE LAGOA SANTA,Gestao singular,GR4,0000.00.0020,DEC 98.881 de 25/01/1990; DEC 1.876 de 25/04/1996,MG,CERRADO,CERRADO,37735.5772361922
3,APA CAVERNAS DO PERUACU,APA,AREA DE PROTECAO AMBIENTAL CAVERNAS DO PERUACU,ICMBio Peruacu,GR4,0000.00.0002,DEC  98.182 de 26/09/1989,MG,CERRADO,CAATINGA;CERRADO,143355.585707481
4,APA COSTA DAS ALGAS,APA,AREA DE PROTECAO AMBIENTAL COSTA DAS ALGAS,Gestao singular,GR4,0000.00.1912,DEC S/N de 17/06/2010,ES,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,115001.922234107
5,APA DA ARARINHA AZUL,APA,AREA DE PROTECAO AMBIENTAL DA ARARINHA AZUL,ICMBio Juazeiro,GR2,0000.00.3696,DEC 9.402 de 05/06/2018,BA,CAATINGA,CAATINGA,90641.9177311315
6,APA DA BACIA DO RIO DESCOBERTO,APA,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO DESCOBERTO,ICMBio Descoberto-Brasilia,GR3,0000.00.0003,DEC  88.940 de 07/11/1983,GO;DF,CERRADO,CERRADO,41783.6139427218
7,APA DA BACIA DO RIO SAO BARTOLOMEU,APA,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO BARTOLOMEU,Gestao transferida ao Ibram,GR3,0000.00.0004,DEC  88.940 de 07/11/1983,DF,CERRADO,CERRADO,82680.8036275357
8,APA DA BACIA DO RIO SAO JOAO/MICO-LEAO-DOURADO,APA,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO JOAO/MICO-LEAO-DOURADO,ICMBio Mico-Leao-Dourado,GR4,0000.00.0005,DEC S/N de 27/06/2002,RJ,MATA ATLANTICA,MATA ATLANTICA,150374.606758412
9,APA DA BALEIA FRANCA,APA,AREA DE PROTECAO AMBIENTAL DA BALEIA FRANCA,Gestao singular,GR5,0000.00.0006,DEC S/N de 14/09/2000,SC,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,154867.403495803
10,APA DA BARRA DO RIO MAMANGUAPE,APA,AREA DE PROTECAO AMBIENTAL DA BARRA DO RIO MAMANGUAPE,ICMBio Mamanguape,GR2,0000.00.0007,DEC  924 de 10/09/1993; DEC S;N 7/04/1998,PB,MATA ATLANTICA,SISTEMA COSTEIRO-MARINHO;MATA ATLANTICA,14917.7912047074
11,APA DA CHAPADA DO ARARIPE,APA,AREA DE PROTECAO AMBIENTAL DA CHAPADA DO ARARIPE,Gestao singular,GR2,0000.00.0008,DEC S/N de 04/08/1997,PI;CE;PE,CAATINGA,CAATINGA,972605.181875277
12,APA DA COSTA DOS CORAIS,APA,AREA DE PROTECAO AMBIENTAL DA COSTA DOS CORAIS,ICMBio Costa dos Corais,GR2,0000.00.0009,DEC S/N de 23/10/1997,PE;AL,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,405642.397166475
13,APA DA REGIAO SERRANA DE PETROPOLIS,APA,AREA DE PROTECAO AMBIENTAL DA REGIAO SERRANA DE PETROPOLIS,ICMBio Serra Fluminense,GR4,0000.00.0010,DEC  87.561 de 13/09/1982; DEC  527 de 20/05/1992; LEI 14.452 de 21/09/2022; LEI 14.516 de 29/12/2022,RJ,MATA ATLANTICA,MATA ATLANTICA,58691.3157367364
14,APA DA SERRA DA MANTIQUEIRA,APA,AREA DE PROTECAO AMBIENTAL DA SERRA DA MANTIQUEIRA,ICMBio Mantiqueira,GR4,0000.00.0011,DEC  91.304 de 03/06/1985; LEI 9.097 de 19/09/1995,MG;RJ;SP,MATA ATLANTICA,MATA ATLANTICA,437525.100693198
15,APA DAS ILHAS E VARZEAS DO RIO PARANA,APA,AREA DE PROTECAO AMBIENTAL DAS ILHAS E VARZEAS DO RIO PARANA,ICMBio Rio Parana,GR5,0000.00.0025,DEC S/N de 30/09/1997,SP;PR;MS,MATA ATLANTICA,MATA ATLANTICA,1005188.38513746
16,APA DAS NASCENTES DO RIO VERMELHO,APA,AREA DE PROTECAO AMBIENTAL DAS NASCENTES DO RIO VERMELHO,ICMBio Mambai,GR3,0000.00.0028,DEC S/N de 27/09/2001,BA;GO,CERRADO,CERRADO,173968.869204272
17,APA DE CAIRUCU,APA,AREA DE PROTECAO AMBIENTAL DE CAIRUCU,ICMBio Paraty,GR4,0000.00.0013,DEC  89.242 de 27/12/1983,RJ;SP,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,32610.7779068594
18,APA DE CANANEIA-IGUAPE-PERUIBE,APA,AREA DE PROTECAO AMBIENTAL DE CANANEIA-IGUAPE-PERUIBE,ICMBio Iguape,GR4,0000.00.0014,DEC  90.347 de 23/10/1984; DEC  91.892 de 6/11/1985,SP,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,202309.580662312
19,APA DE FERNANDO DE NORONHA - ROCAS - SAO PEDRO E SAO PAULO,APA,AREA DE PROTECAO AMBIENTAL DE FERNANDO DE NORONHA - ROCAS - SAO PEDRO E SAO PAULO,ICMBio Noronha,GR2,0000.00.0015,DEC 92.755 de 05/06/1986,PE,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,154405.815628625
20,APA DE GUAPI-MIRIM,APA,AREA DE PROTECAO AMBIENTAL DE GUAPI-MIRIM,ICMBio Guanabara,GR4,0000.00.0016,DEC  90.225 de 25/09/1984,RJ,MATA ATLANTICA,MATA ATLANTICA,13890.5382226621
21,APA DE GUARAQUECABA,APA,AREA DE PROTECAO AMBIENTAL DE GUARAQUECABA,ICMBio Antonina-Guaraquecaba,GR5,0000.00.0017,DEC  90.883 de 31/01/1985,SP;PR,MATA ATLANTICA,MATA ATLANTICA,245642.072790916
22,APA DE PIACABUCU,APA,AREA DE PROTECAO AMBIENTAL DE PIACABUCU,Gestao singular,GR2,0000.00.0018,DEC  88.421 de 21/06/1983,AL,MATA ATLANTICA,MATA ATLANTICA,9107.00970851924
23,APA DELTA DO PARNAIBA,APA,AREA DE PROTECAO AMBIENTAL DELTA DO PARNAIBA,Gestao singular,GR2,0000.00.0019,DEC S/N de 28/08/1996,MA;PI;CE,CERRADO,CERRADO CAATINGA;SISTEMA COSTEIRO-MARINHO,309593.770698495
